,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
216,3518909,GUZOLANDIA,-20.6467,-50.6645,0,35,6479,17,America/Sao_Paulo
217,3519006,HERCULANDIA,-22.0038,-50.3907,0,35,6481,14,America/Sao_Paulo
218,3519055,HOLAMBRA,-22.6405,-47.0487,0,35,2953,19,America/Sao_Paulo
219,3519071,HORTOLANDIA,-22.8529,-47.2143,0,35,2951,19,America/Sao_Paulo
220,3519105,IACANGA,-21.8896,-49.031,0,35,6483,14,America/Sao_Paulo
221,3519204,IACRI,-21.8572,-50.6932,0,35,6485,14,America/Sao_Paulo
222,3519253,IARAS,-22.8682,-49.1634,0,35,7259,14,America/Sao_Paulo
223,3519303,IBATE,-21.9584,-47.9882,0,35,6487,16,America/Sao_Paulo
224,3519402,IBIRA,-21.083,-49.2448,0,35,6489,17,America/Sao_Paulo
225,3519501,IBIRAREMA,-22.8185,-50.0739,0,35,6491,14,America/Sao_Paulo
226,3519600,IBITINGA,-21.7562,-48.8319,0,35,6493,16,America/Sao_Paulo
227,3519709,IBIUNA,-23.6596,-47.223,0,35,6495,15,America/Sao_Paulo
228,3519808,ICEM,-20.3391,-49.1915,0,35,6497,17,America/Sao_Paulo
229,3519907,IEPE,-22.6602,-51.0779,0,35,6499,18,America/Sao_Paulo
230,3520004,IGARACU DO TIETE,-22.509,-48.5597,0,35,6501,14,America/Sao_Paulo
231,3520103,IGARAPAVA,-20.0407,-47.7466,0,35,6503,16,America/Sao_Paulo
232,3520202,IGARATA,-23.2037,-46.157,0,35,6505,11,America/Sao_Paulo
233,3520301,IGUAPE,-24.699,-47.5537,0,35,6507,13,America/Sao_Paulo
234,3520426,ILHA COMPRIDA,-24.7307,-47.5383,0,35,2969,13,America/Sao_Paulo
235,3520442,ILHA SOLTEIRA,-20.4326,-51.3426,0,35,2943,18,America/Sao_Paulo
236,3520400,ILHABELA,-23.7785,-45.3552,0,35,6509,12,America/Sao_Paulo
237,3520509,INDAIATUBA,-23.0816,-47.2101,0,35,6511,19,America/Sao_Paulo
238,3520608,INDIANA,-22.1738,-51.2555,0,35,6513,18,America/Sao_Paulo
239,3520707,INDIAPORA,-19.979,-50.2909,0,35,6515,17,America/Sao_Paulo
240,3520806,INUBIA PAULISTA,-21.7695,-50.9633,0,35,6517,18,America/Sao_Paulo
241,3520905,IPAUSSU,-23.0575,-49.6279,0,35,6519,14,America/Sao_Paulo
242,3521002,IPERO,-23.3513,-47.6927,0,35,6521,15,America/Sao_Paulo
243,3521101,IPEUNA,-22.4355,-47.7151,0,35,6523,19,America/Sao_Paulo
244,3521150,IPIGUA,-20.6557,-49.3842,0,35,800,17,America/Sao_Paulo
245,3521200,IPORANGA,-24.5847,-48.5971,0,35,6525,15,America/Sao_Paulo
246,3521309,IPUA,-20.4438,-48.0129,0,35,6527,16,America/Sao_Paulo
247,3521408,IRACEMAPOLIS,-22.5832,-47.523,0,35,6529,19,America/Sao_Paulo
248,3521507,IRAPUA,-21.2768,-49.4164,0,35,6531,17,America/Sao_Paulo
249,3521606,IRAPURU,-21.5684,-51.3472,0,35,6533,18,America/Sao_Paulo
250,3521705,ITABERA,-23.8638,-49.14,0,35,6535,15,America/Sao_Paulo
251,3521804,ITAI,-23.4213,-49.092,0,35,6537,14,America/Sao_Paulo
252,3521903,ITAJOBI,-21.3123,-49.0629,0,35,6539,17,America/Sao_Paulo
253,3522000,ITAJU,-21.9857,-48.8116,0,35,6541,14,America/Sao_Paulo
254,3522109,ITANHAEM,-24.1736,-46.788,0,35,6543,13,America/Sao_Paulo
255,3522158,ITAOCA,-24.6393,-48.8413,0,35,3053,15,America/Sao_Paulo
256,3522208,ITAPECERICA DA SERRA,-23.7161,-46.8572,0,35,6545,11,America/Sao_Paulo
257,3522307,ITAPETININGA,-23.5886,-48.0483,0,35,6547,15,America/Sao_Paulo
258,3522406,ITAPEVA,-23.9788,-48.8764,0,35,6549,15,America/Sao_Paulo
259,3522505,ITAPEVI,-23.5488,-46.9327,0,35,6551,11,America/Sao_Paulo
260,3522604,ITAPIRA,-22.4357,-46.8224,0,35,6553,19,America/Sao_Paulo
261,3522653,ITAPIRAPUA PAULISTA,-24.572,-49.1661,0,35,3055,15,America/Sao_Paulo
