,data,nome_feriado,tipo_feriado,descricao_feriado,UF,Cidade
1281,16/08/2018,Feriado Municipal,MUNICIPAL,,SP,Taquarituba 
1282,21/03/2018,Feriado Municipal,MUNICIPAL,,SP,Tarabai 
1283,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Tarabai 
1284,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Tarabai 
1285,30/11/2018,Feriado Municipal,MUNICIPAL,,SP,Tarumã 
1286,11/08/2018,Feriado Municipal,MUNICIPAL,,SP,Tatuí 
1287,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Tatuí 
1288,25/04/2018,Feriado Municipal,MUNICIPAL,,SP,Tejupá 
1289,26/05/2018,Feriado Municipal,MUNICIPAL,,SP,Tejupá 
1290,29/06/2018,Feriado Municipal,MUNICIPAL,,SP,Tejupá 
1291,21/03/2018,Feriado Municipal,MUNICIPAL,,SP,Teodoro Sampaio 
1292,27/06/2018,Feriado Municipal,MUNICIPAL,,SP,Teodoro Sampaio 
1293,26/03/2018,Feriado Municipal,MUNICIPAL,,SP,Terra Roxa 
1294,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Terra Roxa 
1295,08/03/2018,Feriado Municipal,MUNICIPAL,,SP,Tietê 
1296,15/08/2018,Feriado Municipal,MUNICIPAL,,SP,Tietê 
1297,20/11/2018,Dia da Consciência Negra,MUNICIPAL,,SP,Timburi 
1298,07/04/2018,Feriado Municipal,MUNICIPAL,,SP,Torrinha 
1299,08/12/2018,Feriado Municipal,MUNICIPAL,,SP,Torrinha 
1300,06/08/2018,Feriado Municipal,MUNICIPAL,,SP,Tremembé 
1301,26/11/2018,Feriado Municipal,MUNICIPAL,,SP,Tremembé 
1302,05/01/2018,Feriado Municipal,MUNICIPAL,,SP,Três Fronteiras 
1303,18/02/2018,Feriado Municipal,MUNICIPAL,,SP,Três Fronteiras 
1304,29/06/2018,Feriado Municipal,MUNICIPAL,,SP,Tupã 
1305,15/08/2018,Feriado Municipal,MUNICIPAL,,SP,Tupi Paulista 
1306,28/08/2018,Feriado Municipal,MUNICIPAL,,SP,Tupi Paulista 
